nwikiproject,start_ts,end_ts,tcount
18,1281428429,1296980429,19
18,1296980429,1312532429,20
18,1312532429,1328084429,21
18,1328084429,1343636429,22
18,1343636429,1359188429,23
18,1359188429,1374740429,24
18,1374740429,1390292429,25
18,1390292429,1405844429,26
18,1405844429,1421396429,27
18,1421396429,1433341432,28
19,1001492429,1017044429,1
19,1017044429,1032596429,2
19,1032596429,1048148429,3
19,1048148429,1063700429,4
19,1063700429,1079252429,5
19,1079252429,1094804429,6
19,1094804429,1110356429,7
19,1110356429,1125908429,8
19,1125908429,1141460429,9
19,1141460429,1157012429,10
19,1157012429,1172564429,11
19,1172564429,1188116429,12
19,1188116429,1203668429,13
19,1203668429,1219220429,14
19,1219220429,1234772429,15
19,1234772429,1250324429,16
19,1250324429,1265876429,17
19,1265876429,1281428429,18
19,1281428429,1296980429,19
19,1296980429,1312532429,20
19,1312532429,1328084429,21
19,1328084429,1343636429,22
19,1343636429,1359188429,23
19,1359188429,1374740429,24
19,1374740429,1390292429,25
19,1390292429,1405844429,26
19,1405844429,1421396429,27
19,1421396429,1433341432,28
20,1001492429,1017044429,1
20,1017044429,1032596429,2
20,1032596429,1048148429,3
20,1048148429,1063700429,4
20,1063700429,1079252429,5
20,1079252429,1094804429,6
20,1094804429,1110356429,7
20,1110356429,1125908429,8
20,1125908429,1141460429,9
20,1141460429,1157012429,10
20,1157012429,1172564429,11
20,1172564429,1188116429,12
20,1188116429,1203668429,13
20,1203668429,1219220429,14
20,1219220429,1234772429,15
20,1234772429,1250324429,16
20,1250324429,1265876429,17
20,1265876429,1281428429,18
20,1281428429,1296980429,19
20,1296980429,1312532429,20
20,1312532429,1328084429,21
20,1328084429,1343636429,22
20,1343636429,1359188429,23
20,1359188429,1374740429,24
20,1374740429,1390292429,25
20,1390292429,1405844429,26
20,1405844429,1421396429,27
20,1421396429,1433341432,28
21,1001492429,1017044429,1
21,1017044429,1032596429,2
21,1032596429,1048148429,3
21,1048148429,1063700429,4
21,1063700429,1079252429,5
21,1079252429,1094804429,6
21,1094804429,1110356429,7
21,1110356429,1125908429,8
21,1125908429,1141460429,9
